rank,config,mean_err,std_err,phase1_err,arch_desc,embed_dim,lr,n_iters,augment,n_augmentations,max_swaps,last_layer_update
1,"[64,128] e=5 lr=0.2 it=300 aug(sw=3) llu=F",37.88,0.36,37.0,"[64,128]",5,0.2,300,True,1,3,False
2,"[64,128] e=5 lr=0.2 it=500 aug(sw=3) llu=F",37.98,0.36,37.0,"[64,128]",5,0.2,500,True,1,3,False
3,"[64,128] e=10 lr=0.2 it=300 aug(sw=3) llu=F",37.88,0.36,37.0,"[64,128]",10,0.2,300,True,1,3,False
4,"[64,128] e=10 lr=0.2 it=500 aug(sw=3) llu=F",37.98,0.36,37.0,"[64,128]",10,0.2,500,True,1,3,False
5,"[64,128] e=16 lr=0.2 it=300 aug(sw=3) llu=F",37.88,0.36,37.0,"[64,128]",16,0.2,300,True,1,3,False
6,"[64,128] e=16 lr=0.2 it=500 aug(sw=3) llu=F",37.98,0.36,37.0,"[64,128]",16,0.2,500,True,1,3,False
7,"[64,128] e=32 lr=0.2 it=300 aug(sw=3) llu=F",37.88,0.36,37.0,"[64,128]",32,0.2,300,True,1,3,False
8,"[64,128] e=32 lr=0.2 it=500 aug(sw=3) llu=F",37.98,0.36,37.0,"[64,128]",32,0.2,500,True,1,3,False
9,[32] e=5 lr=0.2 it=200 aug(sw=2) llu=T,38.28,0.12,37.3,[32],5,0.2,200,True,1,2,True
10,[32] e=5 lr=0.2 it=300 aug(sw=2) llu=T,38.28,0.12,37.3,[32],5,0.2,300,True,1,2,True
11,[32] e=5 lr=0.2 it=500 aug(sw=2) llu=T,38.28,0.12,37.3,[32],5,0.2,500,True,1,2,True
12,[32] e=10 lr=0.2 it=200 aug(sw=2) llu=T,38.28,0.12,37.3,[32],10,0.2,200,True,1,2,True
13,[32] e=10 lr=0.2 it=300 aug(sw=2) llu=T,38.28,0.12,37.3,[32],10,0.2,300,True,1,2,True
14,[32] e=10 lr=0.2 it=500 aug(sw=2) llu=T,38.28,0.12,37.3,[32],10,0.2,500,True,1,2,True
15,[32] e=16 lr=0.2 it=200 aug(sw=2) llu=T,38.28,0.12,37.3,[32],16,0.2,200,True,1,2,True
